otu name	taxonomy	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
Zotu1	endozoicomonas montiporae  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__endozoicomonadaceae;g__endozoicomonas;s__endozoicomonas montiporae; superkingdom__bacteria;	97.70733004402162673205897125	94.87041520939826024571787284	98.64217014560938570109877021	83.61567392073033527275065094	26.210157386589075519111228670	92.66135894007536161419715571	0	94.74755063073215012364228253	64.575862495362928156300234940	0.0029880180476290076792063800	83.08255999038952458179415563	94.02453120986385820703827382	99.33357028612049049226941532	48.259096100505792135748082880	0.0148597242035187826913932500	92.83075174079863578229359102	1.6061384400299118899762655700	89.09073464035564652828861100	71.469869566713700657328698760	0	0	0
Zotu2	ay345894.1 photobacterium phosphoreum ak9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium phosphoreum;superkingdom__bacteria	0.0236357727420450852365054500	0.0298926852599168983349774300	0	0.0128580153653283615673920700	9.350614998016135431821187670	0.0303877476601434301689558800	24.202587491802301317593751860	0	0.1422035365401261283541486300	47.847132996683299967131801480	0.027029462113703937291647900	0.0577960441818648856922681700	0.0622001066287542207215212400	0.0391581008321096426823299100	56.538278649548264384213029010	0.0746056558192411539008100	6.6228825958318431576551679300	0	0	42.195919355815220681721862320	0	0
Zotu3	fj596644.1 acinetobacter junii str. p1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__moraxellales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii; superkingdom__bacteria;	0.1299967500812479688007799800	0.3826263713269362986877111200	0.2709704314683024149123068200	2.0637114661352020315664277200	0.1554027245073402989022616100	0.7019569709493132369028807600	0	2.4822362037123986602810905600	0	0.0209161263334030537544446800	0	1.4609555612638068327767788300	0	0.21210637950726056452928700	0	3.7515986926246980247264459300	0.9396235003413857008160743900	2.3763072888348738286372213500	6.3254981587913411570361702900	0	90.08464328899637243047158404	0.0068362045392398140552365300
Zotu4	y16800.1 propionigenium maris str. ml_1  ;k__bacteria;p__fusobacteria;c__fusobacteriia;o__fusobacteriales;f__fusobacteriaceae;g__propionigenium;s__propionigenium maris;superkingdom__bacteria	0.0029544715927556356545631800	0	0.0089330911473066730190870400	0	0.0033064409469646872106864200	0	43.221248434984796995170810230	0	0.1020155805613948312105848900	0.1643409926195954223563510300	0.0090098207045679790972159700	0	0.0207333688762514069071737500	0	5.0612220637184973846885401800	0	0	0	0	14.911908942301870799782042740	0	0
Zotu5	x95459.1 methylophaga marina str. dsm 5989  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__thiotrichales;f__piscirickettsiaceae;g__methylophaga;s__methylophaga marina;superkingdom__bacteria	0.0059089431855112713091263600	0.0807102502017756255044390600	0	2.2565816966151274550773088200	5.594498082264250760481417800	0	0	0	15.203412884876963027080499570	0.1912331550482564914692084700	0	0	0	21.364007178985152553434491760	0.9034712315739419876367094600	0	0	0	11.036927418522214956809030530	0.4086698553005993824544408800	0	0
Zotu7	fusibacter paucivorans  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__eubacteriales family xii. incertae sedis;g__fusibacter;s__fusibacter paucivorans;superkingdom__bacteria;	0.0059089431855112713091263600	0.0059785370519833796669954900	0	0.0610755729853097174451123500	28.805713529956354979500066130	0	0.0894294401717045251296726900	0	0.086558674415728947693829600	3.8605193175366779215346460700	0	0.0866940662727973285384022600	0.0029619098394644867010248200	0.0065263501386849404470549800	0	0	0.2763598530415840296517865900	0	0.0688302302371201431668788900	4.9524732094205969607071502100	0	0
Zotu8	ab245515.1 deselenobacterium futtsum str. fut3661  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__ferrimonadaceae;g__ferrimonas;s__ferrimonas futtsum;superkingdom__bacteria	0	0.0059785370519833796669954900	0	0.035359542254652994310328200	3.7792620023806374818145747900	0	0.0685625707983068025994157300	0	0.1174724867070607147273401800	11.530761645800340634057429710	0.0150163678409466318286932800	0.0256871307474955047521191900	0	0	7.4625534950071326676176890200	0	4.3177162922261598985596774700	0	0.0825962762845441718002546700	8.582066961312587031543258460	0.002949243519037366915386200	0
Zotu9	thalassomonas sediminis ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__colwelliaceae;g__thalassomonas;s__thalassomonas sediminis;superkingdom__bacteria	0.4963512275829467899666144700	0.0597853705198337966699548600	0	0.0546465653026455366614163100	0.0066128818939293744213728300	0.0121550990640573720675823500	0.0029809813390568175043224200	0	0.0927414368739953011005317200	0.0029880180476290076792063800	0.1561702255458449710184100700	0.6325455946570768045209350100	0	0	0	0.1598692624698024726445928700	37.285821113892772377019865400	0	0.1204529029149602505420380600	0	0	0
Zotu10	thalassomonas loyana ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__colwelliaceae;g__thalassotalea;s__thalassomonas loyana;superkingdom__bacteria	0.1418146364522705114190327100	0.3318088063850775715182494800	0	0.1189366421292873444983766800	0.4860468192038090199709033200	0.5287468092864956849398322600	0.0149049066952840875216121100	0	1.2489180165698033881538271300	0.0328681985239190844712702100	3.8652130822596630327056491600	0.1701772412021577189827896200	0	0.0522108011094795235764398800	0.005943889681407513076557300	0	17.904867184705920603439867350	0	0.1101283683793922290670062300	0.021190288793364412423563600	0	0
Zotu12	fj907186.1 bacillus subtilis 3  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__bacillus;s__bacillus subtilis;superkingdom__bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.127016680339075745146294780
