genus	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
fodinicurvata	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
cytophaga	0	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
serratia	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
orientia	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
novosphingobium	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
maricaulis	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
owenweeksia	8	88	0	2	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
kordia	0	2	0	0	2	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0
haliangium	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aquabacterium	0	2	0	0	0	0	0	1	5	0	0	6	0	1	0	11	3	0	13	0	10	1
salmonella	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	20	0	25	1139
pseudovibrio	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
oceanobacter	0	0	0	10	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
alkaliphilus	4	1	0	1	131	0	870	0	43	365	5	3	0	205	1	0	52	0	0	719	0	0
acinetobacter	44	132	96	647	49	232	0	810	2	8	0	467	2	66	0	1095	298	787	1880	0	31358	2
leisingera	6	11	3	14	19	27	4	8	30	11	50	5	0	51	5	0	87	0	0	0	0	0
pseudoalteromonas	0	6	0	2	30	1	1	9	9	0	4	0	0	0	0	0	7	16	1	0	0	0
streptococcus	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
sphingomonas	1	4	6	14	0	10	0	23	0	0	0	10	0	1	0	40	0	1	19	0	563	0
shimia	20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
thioprofundum	0	0	0	3	1	0	0	26	6	0	4	0	0	0	0	0	165	0	47	0	0	0
photobacterium	10	11	0	4	3088	10	8324	0	71	18675	14	18	21	13	21337	21	2106	0	7	15948	0	0
flexithrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
delftia	0	0	1	9	1	3	0	0	0	0	1	2	0	2	0	14	3	0	27	0	238	0
nitrincola	2	1	0	1	9	5	0	0	5	0	33	1	0	8	0	0	2	0	2	0	0	0
propionigenium	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	0	0
desulfocapsa	0	0	10	2740	0	47	0	0	0	0	0	0	72	1207	4	0	17	96	0	0	0	0
lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4671
thalassomonas	170	29	0	17	21	10	1	0	62	2	66	208	0	0	0	45	11666	36	35	0	0	0
celeribacter	1	18	0	3	5	12	0	0	6	0	1	3	0	7	0	3	2	0	0	0	0	0
jannaschia	0	3	0	20	15	0	0	0	27	2	1	1	0	74	0	0	0	0	50	3	0	0
planifilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
truepera	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spongiibacter	0	5	0	7	7	0	0	0	40	0	1	3	0	9	0	18	0	0	0	0	0	0
hyphomonas	9	17	6	5	12	16	0	0	163	1	3	9	0	251	0	0	17	12	51	0	0	0
methylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
marivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
candidatus odyssella	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
thalassotalea	56	194	0	37	228	266	7	0	518	15	1412	64	0	21	2	50	5973	0	86	7	0	0
sagittula	21	34	2	10	5	71	1	0	65	10	156	47	0	64	4	8	225	6	41	3	0	0
melittangium	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corynebacterium	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	8	0	13	37	0	13	0
portibacter	8	7	0	0	5	3	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0
spiroplasma	0	0	0	0	0	8	0	36	5	0	0	0	5	0	0	4	0	4	5	0	0	0
cellulomonas	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thalassobius	19	106	0	9	18	51	3	0	28	2	25	17	0	15	0	22	188	0	0	0	0	0
parvularcula	0	0	16	0	0	0	0	0	0	0	0	0	0	147	0	136	7	0	488	0	0	0
teredinibacter	0	0	0	0	5	3	0	0	0	0	12	15	0	0	0	0	30	0	0	0	0	0
cohaesibacter	0	8	0	4	0	0	2	0	0	0	0	0	0	0	1	0	11	0	0	1	0	0
maritimibacter	2	25	0	4	2	9	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0
shigella	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671
aestuariivita	3	0	0	0	0	3	0	0	5	0	2	4	0	0	0	0	8	0	0	0	0	0
fusibacter	3	7	0	37	8992	0	58	0	55	3066	4	31	2	27	7	0	274	0	58	1744	0	0
maricurvus	4	1	0	5	9	0	0	0	0	0	2	0	0	28	0	0	49	0	9	0	0	0
tropicibacter	18	64	0	21	7	89	7	0	32	4	267	16	0	105	7	8	382	0	50	1	0	0
terasakiella	0	0	0	0	6	0	0	0	11	0	3	0	0	5	0	0	0	0	0	0	0	0
endozoicomonas	33211	31945	33195	26163	8555	30715	0	30573	21313	1	28449	29423	33627	15560	6	26200	588	28088	20935	0	0	0
flammeovirga	0	0	0	0	7	6	0	0	0	17	0	0	0	0	0	8	0	0	0	0	0	0
comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
brevundimonas	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0
congregibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
oleibacter	1	15	0	12	47	7	0	0	60	1	42	0	0	51	0	5	7	0	0	0	0	0
marinobacterium	4	6	0	5	98	41	0	0	67	5	198	29	0	71	1	0	484	16	60	1	0	0
gilvimarinus	24	10	0	5	8	51	0	0	10	0	38	15	0	7	0	6	109	0	0	1	0	0
photococcus	0	0	0	0	222	0	219	0	1	1134	0	0	0	0	706	0	25	0	0	795	0	0
staphylococcus	6	1	5	29	0	1	0	17	0	1	0	16	0	0	0	61	1	0	21	0	13	5828
nautella	6	8	0	2	1	21	0	0	3	2	44	12	0	13	0	0	140	0	5	1	0	0
kordiimonas	8	5	0	12	6	2	0	0	25	0	99	137	0	59	0	0	85	0	170	2	0	0
phaeocystidibacter	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aestuariibacter	15	12	0	25	571	42	0	0	1019	7	14	11	0	699	2	18	26	0	51	3	0	0
spirochaeta	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
psychrobium	1	3	0	1	4	8	0	0	6	0	8	0	0	0	0	3	72	0	0	0	0	0
stenotrophomonas	0	2	1	18	0	15	0	8	0	0	0	2	0	1	0	29	22	0	35	0	274	1
mesoflavibacter	2	5	0	0	0	0	0	0	0	0	1	19	0	0	0	1	0	0	0	0	0	0
tepidiphilus	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
candidatus alysiosphaera	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bradyrhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
arcobacter	7	2	0	0	27	31	0	0	0	0	66	10	0	2	9	0	21	0	0	1	0	0
arenibacter	6	5	0	0	0	3	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0
pseudohaliea	2	0	13	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0
lewinella	6	6	0	0	1	0	0	0	23	0	0	0	0	48	0	0	30	25	58	0	0	0
azotobacter	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	26	0	0	0	0
candidatus atelocyanobacterium	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	50	0	0	0
tropicimonas	4	13	0	0	2	8	0	0	14	1	17	5	2	12	0	4	19	0	9	0	0	0
ferrimonas	0	3	0	11	1354	0	309	0	38	5808	5	8	0	1	4350	0	1377	0	24	4400	2	0
thalassolituus	6	5	0	0	4	32	0	0	0	0	203	6	0	94	0	0	484	0	0	0	0	0
methylophaga	2	34	0	828	1950	0	0	0	5347	64	0	0	0	7409	312	0	0	0	3452	139	0	0
fulvivirga	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
litoricola	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	0	0	0	0
perspicuibacter	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
poriferibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
microbulbifer	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rubribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0
