order	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
pirellulales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
kordiimonadales	8	5	0	12	6	2	0	0	25	0	99	137	0	59	0	0	85	0	170	2	0	0
micrococcales	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
holosporales	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
bacteriovoracales	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
marinilabiliales	2	12	0	14	667	3	2803	0	24	1630	4	7	0	10	380	9	644	0	17	1296	0	0
burkholderiales	0	12	7	22	4	3	0	18	7	0	3	30	0	104	0	68	6	97	53	0	1316	1
synechococcales	0	1	2	0	0	0	0	41	0	0	0	7	10	1	0	0	0	25	0	0	0	0
verrucomicrobiales	0	0	0	0	0	0	0	17	0	0	0	112	0	3	0	0	0	0	0	0	0	0
xanthomonadales	0	3	1	18	0	15	0	18	0	0	1	6	1	1	0	30	22	0	35	0	274	1
cellvibrionales	30	16	16	20	29	54	0	28	50	0	53	33	0	454	0	24	188	56	9	1	0	0
desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	4	0	0	34	0	0
chromatiales	0	0	0	3	1	0	0	26	32	0	4	0	0	0	0	0	168	24	47	0	0	0
parvularculales	0	0	16	0	0	0	0	0	0	0	0	0	0	147	0	136	7	0	488	0	0	0
sphingomonadales	3	4	6	25	2	10	0	23	0	0	7	10	0	10	0	40	16	1	73	0	603	0
maricaulales	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
spirulinales	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhodobacterales	132	540	28	127	113	452	18	69	398	60	1109	283	5	741	25	147	2521	43	268	14	0	0
methanobacteriales	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
myxococcales	1	0	37	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
campylobacterales	7	2	0	0	27	31	0	0	0	0	66	10	0	2	9	0	21	0	0	1	0	0
alteromonadales	302	355	0	186	3130	926	320	12	3349	5893	2273	357	4	1520	4368	151	20904	52	829	4480	2	0
fusobacteriales	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	21	0
oceanospirillales	33242	32058	33196	26291	10208	30973	1	30577	22482	66	29580	29484	33627	16771	13	26222	3021	28128	21140	6	0	0
gammaproteobacteria	0	0	0	25	0	23	0	0	1	0	0	0	0	0	0	0	0	0	144	0	0	0
pseudanabaenales	0	0	39	0	0	0	0	0	0	0	0	0	0	1254	0	0	0	0	0	0	0	0
mycoplasmatales	0	0	0	0	11	4	0	0	29	1	32	0	0	21	0	0	0	0	0	1	0	0
chroococcales	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	50	0	0	0
enterobacterales	4	4	0	0	0	1	0	2	34	0	0	1	0	0	0	1	0	0	20	0	25	2904
entomoplasmatales	0	0	0	0	0	8	0	36	5	0	0	0	5	0	0	4	0	4	5	0	0	0
pelagibacterales	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	20	0	0	0	0
bacillales	10	1	5	29	0	1	0	17	0	1	0	16	0	0	0	61	1	31	48	0	51	17920
moraxellales	44	132	96	651	49	232	0	810	2	8	0	467	2	66	0	1095	299	802	1880	0	31358	2
hydrogenophilales	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rickettsiales	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
caulobacterales	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0
spirochaetales	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagales	0	0	16	0	12	6	0	0	12	17	0	0	0	0	0	8	0	37	0	0	0	0
saprospirales	14	13	0	0	6	3	0	0	23	0	0	5	0	48	0	21	30	25	58	0	0	0
hyphomicrobiales	1	16	1	22	1	1	2	1	25	7	2	1	0	91	4	0	12	5	63	2	117	0
rhodospirillales	0	0	10	0	11	2	0	0	16	0	3	1	0	6	0	0	0	0	0	0	0	0
eubacteriales	7	8	0	38	9123	0	928	0	98	3431	9	34	2	232	8	0	326	0	58	2463	0	0
trueperales	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactobacillales	0	0	0	0	0	0	0	12	2	0	0	0	4	0	0	11	0	0	5	0	10	7358
arenicellales	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pseudomonadales	1	6	0	24	18	7	0	8	17	0	15	15	2	24	0	26	30	113	37	0	117	1070
vibrionales	11	12	0	8	4665	51	8889	6	73	22129	21	24	21	69	23038	23	2388	39	20	18158	0	0
aeromonadales	0	0	0	0	146	0	0	0	4	27	0	0	0	8	155	0	0	0	0	61	0	0
lentisphaerales	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
deltaproteobacteria	0	21	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flavobacteriales	16	157	0	2	2	14	0	0	31	0	1	19	0	2	0	49	3	69	0	0	0	0
thiotrichales	2	34	0	828	1950	0	0	0	5347	64	0	0	0	7409	312	0	0	0	3452	139	0	0
hyphomonadales	9	17	6	5	12	16	0	0	163	1	3	9	0	251	0	0	17	12	51	0	0	0
corynebacteriales	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	8	0	13	37	0	13	0
desulfobacterales	0	0	27	2740	8	47	25	0	1	9	0	0	72	1207	4	0	18	96	0	1	0	0
