genus	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
rubritalea	0	0	0	0	0	0	0	0	0	0	0	0.327179247487730778219210100	0	0.0096098404766480876417451500	0	0	0	0	0	0	0	0
prosthecobacter	0	0	0	0	0	0	0	0.0500883912787271655863288200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trieres	0.0058477822285898073155755700	0	0	0	0	0	0	0	0	0	0	0	0.0145475705557171952283968600	0.0192196809532961752834902900	0	0	0	0.0384478883236720690878977900	0	0	0	0
haliea	0	0	0.0087992022056666862204493500	0.0088391278727165586328815600	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1656216727788950668401750900	0	0	0	0
candidatus pelagibacter	0	0.0293884268375113880153995400	0	0	0	0	0	0.0088391278727165586328815600	0	0	0	0	0	0	0	0.0411692054343351173322354900	0	0.0591505974210339524429196700	0	0	0	0
raoultella	0.0116955644571796146311511400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3213016133442712605961170400
blastopirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295752987105169762214598400	0	0	0	0
diatoma	0.0029238911142949036577877800	0	0	0.0206246317030053034767236300	0	0	0	0.571596935769004124926340600	0	0	0	0	0	0	0	0	0	0.5175677274340470838755471400	0	0	0	0
neptuniibacter	0.0350866933715388438934534100	0.0293884268375113880153995400	0	0.1767825574543311726576311100	4.3115392228013459127795737900	0.1352225292492210006467164400	0.0029809813390568175043224200	0	2.2586466165413533834586466200	0.1283505462360456092173601600	0.5858561827157556652590257500	0.0204487029679831736387006300	0	2.5562175667883913127042091100	0.0148579579222631641507191300	0	3.63200	0	0.3048239124001183782184078100	0.0151350042378011865843322400	0	0
polymorphobacter	0	0	0	0	0.0065976116645774229728838200	0	0	0	0	0	0.0208172247665496936894070100	0	0	0.0288295214299442629252354400	0	0	0.03200	0	0	0	0	0
enterococcus	0	0	0	0	0	0	0	0	0.0060150375939849624060150400	0	0	0	0.0116380564445737561827174900	0	0	0	0	0	0.0147972773009766203018644600	0	0.0294924351903736691538620300	9.184440798468690183210281650
bacteriovorax	0	0	0	0.0206246317030053034767236300	0.0032988058322887114864419100	0.0264565818096301957787053900	0	0	0	0	0.0148694462618212097781478600	0	0	0	0	0	0	0	0	0	0	0
halovibrio	0.0087716733428847109733633500	0.0558380109912716372292591200	0	0.0412492634060106069534472600	0.0263904466583096918915352600	0.0529131636192603915574107800	0	0	0.111278195488721804511278200	0	0.1130077915898411943139237500	0.0525823790605281607852301900	0	0.0032032801588826958805817200	0	0	0.25600	0	0.0207161882213672684226102400	0	0	0
mycoplasma	0	0	0	0	0.0362868641551758263508609900	0.0117584808042800870127579500	0	0	0.0872180451127819548872180500	0.0029848964240940839352874500	0.0951644560756557425801463200	0	0	0.0672688833365366134922160300	0	0	0	0	0	0.0030270008475602373168664500	0	0
thalassiosira	0	0	0	0	0	0	0	0.0353565114908662345315262200	0	0	0	0	0	0	0	0	0	0.2661776883946527859931385300	0	0	0	0
ralstonia	0	0.0293884268375113880153995400	0.0175984044113333724408986900	0.0383028874484384207424867400	0.0098964174968661344593257200	0	0	0.0500883912787271655863288200	0	0	0	0.0555036223416686141621874300	0	0.0384393619065923505669805900	0	0.0999823560548138563782861800	0	0.2277298000709807169052407400	0.0236756436815625924829831300	0	3.0701625033178989589170377800	0
desulfatiglans	0	0	0	0	0.0263904466583096918915352600	0	0.0745245334764204376080605700	0	0.0030075187969924812030075200	0.0268640678168467554175870100	0	0	0	0	0	0	0.003200	0	0	0.0030270008475602373168664500	0	0
synechococcus	0	0.0029388426837511388015399500	0.005866134803777790813632900	0	0	0	0	0.1208014142604596346493812600	0	0	0	0.0204487029679831736387006300	0.0290951411114343904567937200	0.0032032801588826958805817200	0	0	0	0.0739382467762924405536495900	0	0	0	0
thalassospira	0	0	0	0	0.0164940291614435574322095400	0.0058792404021400435063789800	0	0	0.0150375939849624060150375900	0	0	0.0029212432811404533769572300	0	0.0032032801588826958805817200	0	0	0	0	0	0	0	0
toxarium	0.073097277857372591444694600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
roseobacter	0.0233911289143592292623022700	0.038204954888764804420019400	0	0.032410135533294048320565700	0.0197928349937322689186514500	0.0117584808042800870127579500	0	0	0.2045112781954887218045112800	0.0238791713927526714822995600	0.0059477785047284839112591400	0	0	0.2370427317573194951630469600	0.0089147747533578984904314800	0.0147032876551196847615126700	0.04800	0	0.0384729209825392127848475900	0	0	0
ruegeria	0.0467822578287184585246045400	0.4790313574514356246510124300	0.0322637414207778494749809400	0.032410135533294048320565700	0.0494820874843306722966286200	0.0881886060321006525956846400	0.0029809813390568175043224200	0.0176782557454331172657631100	0.2646616541353383458646616500	0.0477583427855053429645991300	0.505561172901921132457027300	0.1110072446833372283243748500	0	0.2562624127106156704465372500	0.011886366337810531320575300	0.0823384108686702346644709800	0.598400	0.035490358452620371465751800	0.103580941106836342113051200	0.0121080033902409492674657900	0	0
bacillaria	0.0380105844858337475512411900	0.0029388426837511388015399500	0.0703936176453334897635947700	0.0176782557454331172657631100	0	0.0264565818096301957787053900	0	0.0383028874484384207424867400	0	0	0	0	0.0058190282222868780913587400	0.1153180857197770517009417600	0	0.0294065753102393695230253500	0	0.0768957766473441381757955800	0	0	0	0
fluviicola	0	0.1381256061363035236723778200	0	0	0	0.0264565818096301957787053900	0	0	0	0	0	0	0	0	0	0.0882197259307181085690760500	0	0	0	0	0	0
leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
psychrosphaera	0.017543346685769421946726700	0.0264495841537602492138595800	0	0.0058927519151443724219210400	0.2078247674341888236458402100	0.0764301252278205655829266900	0.0029809813390568175043224200	0	0.1473684210526315789473684200	0.0119395856963763357411497800	0.2944150359840599536073276600	0.0146062164057022668847861600	0	0.0096098404766480876417451500	0	0	0.867200	0	0.0118378218407812962414915700	0.0030270008475602373168664500	0	0
exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0916834260026026262865254900	0	0	0	0
erythrobacter	0	0	0	0.0235710076605774896876841500	0	0	0	0	0	0	0	0	0	0	0	0	0.019200	0	0.1598105948505474992601361300	0	0	0
pseudofulvibacter	0	0	0	0	0	0	0	0	0.0571428571428571428571428600	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacter	0.0029238911142949036577877800	0.0146942134187556940076997700	0	0	0.0593785049811968067559543400	0.0205773414074901522723264200	0	0	0.0511278195488721804511278200	0	0.0386605602807351454231844400	0.0438186492171068006543584900	0	0.0672688833365366134922160300	0	0.008821972593071810856907600	0.060800	0	0	0	0	0
primorskyibacter	0	0	0	0	0	0	0	0	0	0	0	0.008763729843421360130871700	0	0.0032032801588826958805817200	0	0	0	0.0739382467762924405536495900	0	0	0	0
lentisphaera	0	0.0264495841537602492138595800	0	0	0.0197928349937322689186514500	0.0058792404021400435063789800	0	0	0	0	0	0.2044870296798317363870063100	0	0	0	0	0.025600	0	0	0	0	0
pelomonas	0	0	0	0	0	0	0	0	0.0060150375939849624060150400	0	0.0059477785047284839112591400	0.008763729843421360130871700	0	0	0	0.0264659177792154325707228100	0	0.0591505974210339524429196700	0.0147972773009766203018644600	0	0	0
empedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384478883236720690878977900	0	0	0	0
asterionellopsis	0.0058477822285898073155755700	0	0	0	0	0	0	0.1679434295816146140247495600	0.0240601503759398496240601500	0	0	0	0	0.0192196809532961752834902900	0	0	0	0.0709807169052407429315036100	0	0	0	0
spirulina	0	0	0.0645274828415556989499618700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enhydrobacter	0	0.0088165280512534164046198600	0	0	0	0	0	0.0029463759575721862109605200	0	0	0	0	0	0	0	0	0.003200	0	0	0	0.0619341138997847052231102700	0
labrenzia	0.0029238911142949036577877800	0.0146942134187556940076997700	0	0.0530347672362993517972893300	0.0032988058322887114864419100	0.0029396202010700217531894900	0	0	0.0751879699248120300751879700	0.0208942749686585875470121200	0.0059477785047284839112591400	0.0029212432811404533769572300	0	0.1313344865141905311038503400	0.0089147747533578984904314800	0	0	0.0147876493552584881107299200	0.0917431192660550458715596300	0.0030270008475602373168664500	0	0
thiohalomonas	0	0	0	0	0	0	0	0	0.0781954887218045112781954900	0	0	0	0	0	0	0	0.009600	0.0709807169052407429315036100	0	0	0	0
psychrobacter	0	0	0	0.0117855038302887448438420700	0	0	0	0	0	0	0	0	0	0	0	0	0.003200	0.0443629480657754643321897600	0	0	0	0
vibrio	0.0029238911142949036577877800	0.0029388426837511388015399500	0	0.0117855038302887448438420700	4.4698819027512040641287853800	0.12052442824387089188076900	1.0314195433136588564955583400	0.0176782557454331172657631100	0.0030075187969924812030075200	6.9249597038982747298668736200	0.0208172247665496936894070100	0.017527459686842720261743400	0	0.1793836888974309693125760800	2.9567336265303696659931059100	0.0058813150620478739046050700	0.822400	0.1153436649710162072636933600	0.0384729209825392127848475900	4.2832061992977358033660249400	0	0
listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.889253486464315012305168170
marinifilum	0.0058477822285898073155755700	0.0352661122050136656184794400	0	0.0412492634060106069534472600	2.2003034901365705614567526600	0.0088188606032100652595684600	8.355690693376259464615751510	0	0.0721804511278195488721804500	4.8653811712733568145185362100	0.0118955570094569678225182900	0.0204487029679831736387006300	0	0.0320328015888269588058171600	1.1292048020920004754546535100	0.0264659177792154325707228100	2.060800	0	0.0503107428233205090263391500	3.9229930984380675626589175400	0	0
rhodovulum	0	0.0029388426837511388015399500	0	0	0.0098964174968661344593257200	0	0	0	0	0	0.0089216677570927258668887200	0.0146062164057022668847861600	0	0.0256262412710615670446537300	0	0	0.01600	0	0.0858242083456643977508138500	0	0	0
polysiphonia	0	0	0.2375784595530005279521323400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pseudoruegeria	0.0233911289143592292623022700	0.0470214829400182208246392600	0.0351968088226667448817973800	0.0147318797878609310548025900	0.0197928349937322689186514500	0.0382150626139102827914633400	0.0029809813390568175043224200	0.0500883912787271655863288200	0.0090225563909774436090225600	0.0029848964240940839352874500	0.2527805864509605662285136500	0.1665108670250058424865622800	0.0087285423334303171370381100	0.0736754436543020052533794600	0.0029715915844526328301438300	0.0323472328412633064753278800	0.428800	0	0.0029594554601953240603728900	0.0030270008475602373168664500	0	0
