family	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
cymatosiraceae	0	0	0	0	0	0	0	0.0235710076605774896876841500	0.0120300751879699248120300800	0	0	0	0.0378236834448647075938318300	0.0256262412710615670446537300	0	0.0058813150620478739046050700	0	0.0295752987105169762214598400	0	0	0	0
hyphomonadaceae	0.0263150200286541329200900600	0.0499603256237693596261792100	0.0175984044113333724408986900	0.0147318797878609310548025900	0.039585669987464537837302900	0.0470339232171203480510318100	0	0	0.4902255639097744360902255600	0.0029848964240940839352874500	0.0089216677570927258668887200	0.026291189530264080392615100	0	0.8040233198795566660260106300	0	0	0.054400	0.035490358452620371465751800	0.1509322284699615270790174600	0	0	0
pseudoalteromonadaceae	0.017543346685769421946726700	0.0617156963587739148323390200	0	0.0117855038302887448438420700	0.3100877482351388797255393500	0.0911282262331706743488741300	0.0059619626781136350086448500	0.0353565114908662345315262200	0.1954887218045112781954887200	0.0119395856963763357411497800	0.312258371498245405341105100	0.0292124328114045337695723300	0	0.0096098404766480876417451500	0	0.0058813150620478739046050700	0.889600	0.0473204779368271619543357400	0.0147972773009766203018644600	0.0030270008475602373168664500	0	0
oceanospirillaceae	0.0818689512002573024180579500	0.2703735269051047697416757300	0	0.3211549793753682969946965200	5.4166391766180642607376129800	0.6849315068493150684931506800	0.0029809813390568175043224200	0	3.4045112781954887218045112800	0.1940182675661154557936839600	3.2474870635817522155474930100	0.1256134610890394952091610200	0	3.8727657120891793196232942500	0.0208011410911684298110067800	0.0176439451861436217138152100	7.47200	0.0473204779368271619543357400	0.5770938147380881917727138200	0.0181620050853614239011986900	0	0
marinifilaceae	0.0058477822285898073155755700	0.0352661122050136656184794400	0	0.0412492634060106069534472600	2.2003034901365705614567526600	0.0088188606032100652595684600	8.355690693376259464615751510	0	0.0721804511278195488721804500	4.8653811712733568145185362100	0.0118955570094569678225182900	0.0204487029679831736387006300	0	0.0320328015888269588058171600	1.1292048020920004754546535100	0.0264659177792154325707228100	2.060800	0	0.0503107428233205090263391500	3.9229930984380675626589175400	0	0
thermoactinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0799052974252737496300680700	0	0	0
bacillaceae	0.0116955644571796146311511400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1120712537234199427846757300	26.442439157779600765654908390
crocinitomicaceae	0	0.1381256061363035236723778200	0	0	0	0.0264565818096301957787053900	0	0	0	0	0	0	0	0	0	0.0882197259307181085690760500	0	0	0	0	0	0
rhodobacteraceae	0.0087716733428847109733633500	0.0029388426837511388015399500	0	0	0.0098964174968661344593257200	0.0088188606032100652595684600	0	0	0.0150375939849624060150375900	0	0.0148694462618212097781478600	0.026291189530264080392615100	0	0.3203280158882695880581715700	0	0	0.041600	0	0.0858242083456643977508138500	0	0	0
bacteriovoracaceae	0	0	0	0.0206246317030053034767236300	0.0032988058322887114864419100	0.0264565818096301957787053900	0	0	0	0	0.0148694462618212097781478600	0	0	0	0	0	0	0	0	0	0	0
endozoicomonadaceae	97.10534779684804537879009386	93.88132953243012901519381667	97.36317240570188302927201267	77.086034177961107837360047140	28.221283895229926766510523190	90.29043447586571814921512141	0	90.07955215085444902769593400	64.099248120300751879699248120	0.0029848964240940839352874500	84.60417534051031939570570392	85.95174106099555971021266651	97.83823101542042478906022694	49.843039272214747901851495930	0.0178295495067157969808629500	77.045227312827148150326412990	1.881600	83.07109901810008281083638945	61.956200059189109203906481210	0	0	0
thalassiosiraceae	0	0	0	0	0	0	0	0.0353565114908662345315262200	0	0	0	0	0	0	0	0	0	0.2661776883946527859931385300	0	0	0	0
hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0947025747262503699319325200	0	0	0
parvularculaceae	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0.470882183355756294445512200	0	0.3999294242192554255131447400	0.022400	0	1.44421426457531814146197100	0	0	0
ectothiorhodospiraceae	0	0	0	0	0	0	0	0	0.0781954887218045112781954900	0	0	0	0	0	0	0	0.009600	0.0709807169052407429315036100	0	0	0	0
burkholderiales	0	0.0058776853675022776030799100	0	0	0	0	0	0.0029463759575721862109605200	0.0150375939849624060150375900	0	0	0.017527459686842720261743400	0	0.0032032801588826958805817200	0	0.0323472328412633064753278800	0.009600	0	0.0384729209825392127848475900	0	0.0294924351903736691538620300	0.0034181022696199070276182700
halomonadaceae	0.0087716733428847109733633500	0.0558380109912716372292591200	0	0.0412492634060106069534472600	0.0263904466583096918915352600	0.0529131636192603915574107800	0	0	0.111278195488721804511278200	0	0.1130077915898411943139237500	0.0525823790605281607852301900	0	0.0032032801588826958805817200	0	0	0.25600	0	0.0207161882213672684226102400	0	0	0
cellulomonadaceae	0	0	0	0	0	0	0	0.0618738951090159104301708900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verrucomicrobiaceae	0	0	0	0	0	0	0	0.0500883912787271655863288200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagaceae	0	0	0	0	0.0164940291614435574322095400	0	0	0	0.0360902255639097744360902300	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetaceae	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cohaesibacteraceae	0	0.0235107414700091104123196300	0	0.0117855038302887448438420700	0	0	0.0059619626781136350086448500	0	0	0	0	0	0	0	0.0029715915844526328301438300	0	0.035200	0	0	0.0030270008475602373168664500	0	0
microbulbiferaceae	0	0	0	0	0	0	0	0.0824985268120212139068945200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaeraceae	0	0.0264495841537602492138595800	0	0	0.0197928349937322689186514500	0.0058792404021400435063789800	0	0	0	0	0	0.2044870296798317363870063100	0	0	0	0	0.025600	0	0	0	0	0
desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1345377666730732269844320600	0	0	0.012800	0	0	0.1029180288170480687734592600	0	0
halieaceae	0.0058477822285898073155755700	0	0.0469290784302223265090631800	0.0088391278727165586328815600	0	0	0	0	0	0	0	0	0	1.3133448651419053110385034300	0	0	0	0.1656216727788950668401750900	0	0	0	0
stappiaceae	0.0029238911142949036577877800	0.0146942134187556940076997700	0.0029330674018888954068164500	0.0530347672362993517972893300	0.0032988058322887114864419100	0.0029396202010700217531894900	0	0	0.0751879699248120300751879700	0.0208942749686585875470121200	0.0059477785047284839112591400	0.0029212432811404533769572300	0	0.2370427317573194951630469600	0.0089147747533578984904314800	0	0	0.0147876493552584881107299200	0.0917431192660550458715596300	0.0030270008475602373168664500	0	0
oleiphilaceae	0	0.0058776853675022776030799100	0	0.0147318797878609310548025900	0.0098964174968661344593257200	0.0205773414074901522723264200	0	0	0	0	0.0029738892523642419556295700	0	0	0.0032032801588826958805817200	0	0.0470505204963829912368405600	0.057600	0	0.0088783663805859721811186700	0	0	0
verrucariaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646944656825266129506557700	0	0	0	0	0	0
methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501371398236352375615654600	0
colwelliaceae	0.6607993918306482266600391800	0.6553619184765039527434096500	0	0.15910430170889805539186800	0.821402652239889160124035100	0.8113351754953260038802986700	0.0238478507124545400345793800	0	1.744360902255639097744360900	0.0507432392095994268998865700	4.3954083149943496104205079400	0.7945781724702033185323673800	0	0.0672688833365366134922160300	0.0059431831689052656602876500	0.2793624654472740104687408100	56.444800	0.1064710753578611143972554100	0.3580941106836342113051198600	0.0211890059329216612180651400	0	0
archangiaceae	0.0029238911142949036577877800	0	0	0	0	0	0	0.0648202710665880966411314100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arenicellaceae	0	0	0	0	0	0	0	0.0589275191514437242192103700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeromonadaceae	0	0	0	0	0.4816256515141518770205185700	0	0	0	0.0120300751879699248120300800	0.0805922034505402662527610300	0	0	0	0.0256262412710615670446537300	0.4605966955901580886722928800	0	0	0	0	0.1846470517011744763288533700	0	0
ferrimonadaceae	0	0.0088165280512534164046198600	0	0.032410135533294048320565700	4.4665830969189153526423434700	0	0.9211232337685566088356286900	0	0.1142857142857142857142857100	17.336278431138439496149483610	0.0148694462618212097781478600	0.0233699462491236270156578600	0	0.0032032801588826958805817200	12.926423392368952811125638890	0	4.406400	0	0.0710269310446877774489493900	13.318803729265044194212374380	0.0058984870380747338307724100	0
spirulinaceae	0	0	0.0645274828415556989499618700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0.0263904466583096918915352600	0	0.0745245334764204376080605700	0	0.0030075187969924812030075200	0.0268640678168467554175870100	0	0	0	0	0	0	0.003200	0	0	0.0030270008475602373168664500	0	0
pseudomonadaceae	0	0.0029388426837511388015399500	0	0.0707130229817324690630524500	0	0	0	0.0235710076605774896876841500	0	0	0.0059477785047284839112591400	0	0.0058190282222868780913587400	0.0096098404766480876417451500	0	0.067635123213550549902958300	0.035200	0.3342008754288418313024961600	0.1094998520272269902337969800	0	0.345061491727371929100185800	3.6573694284933005195515449800
rhodomelaceae	0	0	0.2375784595530005279521323400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lewinellaceae	0.017543346685769421946726700	0.0176330561025068328092397200	0	0	0.0032988058322887114864419100	0	0	0	0.0691729323308270676691729300	0	0	0	0	0.1537574476263694022679223500	0	0	0.09600	0.0739382467762924405536495900	0.171648416691328795501627700	0	0	0
mycoplasmataceae	0	0	0	0	0.0362868641551758263508609900	0.0117584808042800870127579500	0	0	0.0872180451127819548872180500	0.0029848964240940839352874500	0.0951644560756557425801463200	0	0	0.0672688833365366134922160300	0	0	0	0	0	0.0030270008475602373168664500	0	0
erythrobacteraceae	0	0	0	0.0235710076605774896876841500	0	0	0	0	0	0	0	0	0	0	0	0	0.019200	0	0.1598105948505474992601361300	0	0	0
