phylum	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646944656825266129506557700	0	0	0	0	0	0
bacteroidetes	0.0935645156574369170492090900	0.5348693684427072618802715500	0.0469290784302223265090631800	0.047142015321154979375368300	2.2662796067823447911855908200	0.0764301252278205655829266900	8.355690693376259464615751510	0	0.2706766917293233082706766900	4.9161244104829562414184227800	0.0148694462618212097781478600	0.0905585417153540546856742200	0	0.1921968095329617528349029400	1.1292048020920004754546535100	0.2558372051990825148503205300	2.166400	0.3874364131077723885011238600	0.2219591595146493045279668500	3.9229930984380675626589175400	0	0
apicomplexa	0.017543346685769421946726700	0.0176330561025068328092397200	0	0.0883912787271655863288155600	0	0.0764301252278205655829266900	0	0.0530347672362993517972893300	0.2586466165413533834586466200	0	0.0148694462618212097781478600	0.2366207057723767235335358700	0.0290951411114343904567937200	0.0288295214299442629252354400	0	0.1411515614891489737105216700	0.051200	0.0916834260026026262865254900	0.1627700503107428233205090300	0	0	0
actinobacteria	0	0	0.005866134803777790813632900	0.0206246317030053034767236300	0	0	0	0.0618738951090159104301708900	0	0	0	0	0	0	0	0.0235252602481914956184202800	0	0.0384478883236720690878977900	0.1094998520272269902337969800	0	0.0383401657474857699000206400	0
spirochaetes	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lentisphaerae	0	0.0264495841537602492138595800	0	0	0.0197928349937322689186514500	0.0058792404021400435063789800	0	0	0	0	0	0.2044870296798317363870063100	0	0	0	0	0.025600	0	0	0	0	0
deinococcus_thermus	0	0	0	0	0	0	0	0.0707130229817324690630524500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cnidaria	0.7134294318879564925002192900	1.3459899491580215711052987300	0.5719481433683346043292074900	3.730111962286387743076016500	0.1286534274592597479712344100	1.2463989652536892233523428800	0	3.9864466705951679434295816100	1.4947368421052631578947368400	0.0029848964240940839352874500	0.4669006126211859870338428600	2.1996961906987613928487964500	1.6816991562409077684026767500	1.2909219040297264398744314200	0.0059431831689052656602876500	6.210668705522554843262953600	1.372800	5.8292913758428960132497338200	12.912104172832198875406925130	0	0	0
cyanobacteria	0	0.0029388426837511388015399500	0.1847832463190004106294362600	0	0	0	0	0.1708898055391868002357100800	0	0	0	0.0204487029679831736387006300	0.0290951411114343904567937200	4.0201165993977833301300531700	0	0	0.028800	0.0739382467762924405536495900	0.1479727730097662030186445700	0	0	0
rhodophyta	0	0	0.2375784595530005279521323400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295752987105169762214598400	0	0	0	0
verrucomicrobia	0	0	0	0	0	0	0	0.0500883912787271655863288200	0	0	0	0.327179247487730778219210100	0	0.0096098404766480876417451500	0	0	0	0	0	0	0	0
firmicutes	0.0497061489430133621823923300	0.0264495841537602492138595800	0.0146653370094444770340822400	0.1974071891573364761343547400	30.095005607969914890809526950	0.0029396202010700217531894900	2.7663506826447266440112084900	0.0854449027695934001178550400	0.3007518796992481203007518800	10.244164527490896065906513040	0.0267650032712781776006661500	0.1460621640570226688478616500	0.0174570846668606342740762300	0.7431609968607854442949580400	0.023772732675621062641150600	0.2117273422337234605657825100	1.046400	0.0916834260026026262865254900	0.3284995560816809707013909400	7.455503087540864511442063200	0.1799038546612793818385584100	86.40278917145200984413453651
bacillariophyta	0.1754334668576942194672670400	0.0058776853675022776030799100	0.0909250894585557576113099100	0.0383028874484384207424867400	0.0032988058322887114864419100	0.0264565818096301957787053900	0	1.1726576311137301119622863900	0.0932330827067669172932330800	0	0	0	0.0581902822228687809135874300	0.2210263309629060157601383800	0	0.0352878903722872434276304200	0	1.1268188808706967940376197800	0	0.0030270008475602373168664500	0	0
euryarchaeota	0	0	0	0.0147318797878609310548025900	0.0857689516395064986474896100	0	0	0	0.0932330827067669172932330800	0	0	0	0	0.2882952142994426292523544100	0	0	0	0	0	0	0	0
proteobacteria	98.81874798982485892225373527	97.72239692009286742880653599	98.19323048043644042940106764	91.37890394814378314672952269	67.259352114534538497064062810	96.61649714856840496207889941	27.588982292970846002504024320	93.58279316440777843252799057	96.39398496240601503759398496	84.36511253059518834696436034	98.87586986260631654077202165	90.19046506193035756017761159	98.14954902531277276694791970	92.84387212505605740278044718	82.99060977059312968025674551	82.27077574545668411456801741	95.155200	91.84017508576836626049923104	85.17016868896123113347144125	69.315292408281874318924809300	99.71982186569145014303831067	13.597210828547990155865463490
fusobacteria	0.0029238911142949036577877800	0	0.0087992022056666862204493500	0	0.0065976116645774229728838200	0	61.288976331008167888869015680	0	0.1263157894736842105263157900	0.367142260163572324040355800	0.0089216677570927258668887200	0	0.020366598778004073319755600	0	15.844526328301438250326875070	0	0	0	0	19.297130403196512895023610610	0.0619341138997847052231102700	0
chlorophyta	0.128651209028975760942662500	0.3173950098451229905663149900	0.5983457499853346629905555200	4.4843842074248674130819092500	0.0989641749686613445932572400	1.9136927508965841613263566300	0	0.6599882144961697112551561600	0.8661654135338345864661654100	0.1014864784191988537997731500	0.4966395051448284065901385800	6.5844823556905819116616031800	0	0.2947017746172080210135178400	0.0059431831689052656602876500	10.774569193671704993236487680	0.153600	0.4791198391103750147876493600	0.9322284699615270790174607900	0.0030270008475602373168664500	0	0
tenericutes	0	0	0	0	0.0362868641551758263508609900	0.0352754424128402610382738600	0	0.1060695344725987035945786700	0.1022556390977443609022556400	0.0029848964240940839352874500	0.0951644560756557425801463200	0	0.0145475705557171952283968600	0.0672688833365366134922160300	0	0.0117626301240957478092101400	0	0.0118301194842067904885839300	0.0147972773009766203018644600	0.0030270008475602373168664500	0	0
