otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
Zotu60	toxoplasma gondii  ;k__eukaryota;p__apicomplexa;c__conoidasida;o__eucoccidiorida;f__sarcocystidae;g__toxoplasma;s__toxoplasma gondii; suborder__eimeriorina;subclass  coccidia;superkingdom__eukaryota;	81.7120622568093	3.28302e-64	251.053			6	6	0	30	0	26	0	18	86	0	5	81	10	9	0	48	16	31	55	0	0	0
Zotu77	diatoma tenuis ;k__eukaryota;p__bacillariophyta;c__fragilariophyceae;o__fragilariales;f__fragilariaceae;g__diatoma;s__diatoma tenuis;superkingdom__eukaryota	99.2094861660079	6.32095e-124	448.522			1	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	142	0	0	0	0
Zotu163	polysiphonia scopulorum    ;k__eukaryota;p__rhodophyta;c__florideophyceae;o__ceramiales;f__rhodomelaceae;g__polysiphonia;s__polysiphonia scopulorum;superkingdom__eukaryota;subclass  rhodymeniophycidae;subfamily__polysiphonioideae;	99.2094861660079	6.32095e-124	448.522			0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu166	thalassiosira eccentrica   ;k__eukaryota;p__bacillariophyta;c__coscinodiscophyceae;o__thalassiosirales;f__thalassiosiraceae;g__thalassiosira;s__thalassiosira eccentrica;superkingdom__eukaryota	99.604743083004	5.18855e-125	452.129			0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	90	0	0	0	0
Zotu216	bacillaria paxillifer   ;k__eukaryota;p__bacillariophyta;c__bacillariophyceae;o__bacillariales;f__bacillariaceae;g__bacillaria;s__bacillaria paxillifer;superkingdom__eukaryota	100	1.22023e-126	457.539			13	1	24	6	0	9	0	13	0	0	0	0	2	36	0	10	0	26	0	0	0	0
Zotu251	diatoma tenuis ;k__eukaryota;p__bacillariophyta;c__fragilariophyceae;o__fragilariales;f__fragilariaceae;g__diatoma;s__diatoma tenuis;superkingdom__eukaryota	98.4189723320158	3.27433e-121	439.505			0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0
Zotu266	cymatosira belgica   ;k__eukaryota;p__bacillariophyta;c__mediophyceae;o__cymatosirales;f__cymatosiraceae;g__cymatosira;s__cymatosira belgica;superkingdom__eukaryota;subclass  cymatosirophycidae	100	1.22023e-126	457.539			0	0	0	0	0	0	0	8	4	0	0	0	13	8	0	2	0	10	0	0	0	0
Zotu284	asterionellopsis glacialis   ;k__eukaryota;p__bacillariophyta;c__fragilariophyceae;o__fragilariales;f__fragilariaceae;g__asterionellopsis;s__asterionellopsis glacialis;superkingdom__eukaryota	97.6284584980237	1.69615e-118	430.488			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
Zotu296	navicula lanceolata   ;k__eukaryota;p__bacillariophyta;c__bacillariophyceae;o__naviculales;f__naviculaceae;g__navicula;s__navicula lanceolata;superkingdom__eukaryota	99.2094861660079	6.32095e-124	448.522			8	0	0	0	0	0	0	47	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Zotu301	navicula lanceolata   ;k__eukaryota;p__bacillariophyta;c__bacillariophyceae;o__naviculales;f__naviculaceae;g__navicula;s__navicula lanceolata;superkingdom__eukaryota	100	1.22023e-126	457.539			4	0	7	0	1	0	0	16	0	0	0	0	0	4	0	0	0	16	0	1	0	0
