species	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
diatoma tenuis	0.2824858757062146892655367200	0	0	0.2472624514305898975626986900	0	0	0	9.734069242348218765679879580	0	0	0	0	0	0	0	0	0	6.8762278978388998035363457800	0	0	0	0
dermatocarpon biennense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3755547968589962444520314100	0	0	0	0	0	0
polysiphonia scopulorum	0	0	15.851272015655577299412915850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asterionella glacialis	0	0.1742160278745644599303135900	0	0	0	0	0	0	2.106430155210643015521064300	0	0	0	0	0	0	0	0	0	0	0	0	0
lambia antarctica	12.429378531073446327683615820	18.815331010452961672473867600	0	0	42.857142857142857142857142860	24.954954954954954954954954950	0	0	0	0	0	0	0	0	0	62.546944349607374530556503930	9.736308316430020283975659230	6.3654223968565815324165029500	6.6342700190154236213817874500	50.0	0	0
toxarium undulatum	7.0621468926553672316384180800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asterionellopsis glacialis	0.5649717514124293785310734500	0	0	0	0	0	0	2.8600100351229302558956347200	0.8869179600886917960088691800	0	0	0	0	1.0471204188481675392670157100	0	0	0	0.9430255402750491159135559900	0	0	0	0
bryopsis plumosa	0	0	39.921722113502935420743639920	53.761921582479689155775344400	0	33.693693693693693693693693690	0	11.239337681886603110888108380	31.929046563192904656319290470	97.14285714285714285714285714	50.759878419452887537993920970	72.992227979274611398963730570	0	16.055846422338568935427574170	50.0	0	0	0	0.0211282484682019860553560100	0	0	0
bolocera tuediae	67.514124293785310734463276840	77.177700348432055749128919860	37.181996086105675146771037180	43.482868244436594842811727300	55.714285714285714285714285710	37.117117117117117117117117120	0	65.830406422478675363773206220	53.436807095343680709534368070	2.8571428571428571428571428600	46.504559270516717325227963530	23.834196891191709844559585490	94.24342105263157894736842105	69.808027923211169284467713790	50.0	34.875384090133151246159098670	86.00405679513184584178498986	75.559921414538310412573673870	89.05556729347137122332558631	0	0	0
bacillaria paxillifer	3.672316384180790960451977400	0.1742160278745644599303135900	4.696673189823874755381604700	0.2119392440833627693394560200	0	0.8108108108108108108108108100	0	0.6522829904666332162568991500	0	0	0	0	0.3289473684210526315789473700	6.2827225130890052356020942400	0	0.1707067258449982929327415500	0	1.0216110019646365422396856600	0	0	0	0
macrodactyla doreensis	1.4124293785310734463276836200	2.6132404181184668989547038300	0.9784735812133072407045009800	1.2363122571529494878134934700	0	1.0810810810810810810810810800	0	2.0572002007024586051179126900	1.6629711751662971175166297100	0	1.2158054711246200607902735600	0.550518134715025906735751300	0.8223684210526315789473684200	0.5235602094240837696335078500	0	1.177876408330488221235916700	1.014198782961460446247464500	1.8860510805500982318271119800	3.1269807732938939361926896300	0	0	0
toxoplasma gondii	1.6949152542372881355932203400	1.0452961672473867595818815300	0	1.0596962204168138466972801100	0	2.3423423423423423423423423400	0	0.9031610637230306071249372800	9.534368070953436807095343680	0	1.5197568389057750759878419500	2.6230569948186528497409326400	1.6447368421052631578947368400	1.5706806282722513089005235600	0	0.8193922840559918060771594400	3.2454361054766734279918864100	1.2180746561886051080550098200	1.162053665751109233044580600	0	0	0
navicula lanceolata	3.672316384180790960451977400	0	1.3698630136986301369863013700	0	1.4285714285714285714285714300	0	0	3.8635223281485198193677872600	0	0	0	0	0	2.268760907504363001745200700	0	0	0	1.3752455795677799607072691600	0	50.0	0	0
trieres chinensis	0.5649717514124293785310734500	0	0	0	0	0	0	0	0	0	0	0	0.8223684210526315789473684200	1.0471204188481675392670157100	0	0	0	0.5108055009823182711198428300	0	0	0	0
cymatosira belgica	0	0	0	0	0	0	0	0.4014049172102358253888610100	0.4434589800443458980044345900	0	0	0	2.1381578947368421052631578900	1.3961605584642233856893542800	0	0.0341413451689996585865483100	0	0.3929273084479371316306483300	0	0	0	0
thalassiosira eccentrica	0	0	0	0	0	0	0	0.6021073758153537380832915200	0	0	0	0	0	0	0	0	0	3.5363457760314341846758349700	0	0	0	0
attheya septentrionalis	1.1299435028248587570621468900	0	0	0	0	0	0	1.8564977420973406924234821900	0	0	0	0	0	0	0	0	0	0.3143418467583497053045186600	0	0	0	0
