class	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bacillariophyceae	7.344632768361581920903954800	0.1742160278745644599303135900	6.0665362035225048923679060700	0.2119392440833627693394560200	1.4285714285714285714285714300	0.8108108108108108108108108100	0	4.515805318615153035624686400	0	0	0	0	0.3289473684210526315789473700	8.551483420593368237347294940	0	0.1707067258449982929327415500	0	2.3968565815324165029469548100	0	50.0	0	0
coscinodiscophyceae	1.1299435028248587570621468900	0	0	0	0	0	0	2.4586051179126944305067737100	0	0	0	0	0	0	0	0	0	3.8506876227897838899803536300	0	0	0	0
eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3755547968589962444520314100	0	0	0	0	0	0
anthozoa	68.926553672316384180790960450	79.79094076655052264808362369	38.160469667318982387475538160	44.719180501589544330625220770	55.714285714285714285714285710	38.198198198198198198198198200	0	67.887606623181133968891118920	55.099778270509977827050997780	2.8571428571428571428571428600	47.720364741641337386018237080	24.384715025906735751295336790	95.06578947368421052631578947	70.331588132635253054101221640	50.0	36.053260498463639467395015360	87.01825557809330628803245436	77.445972495088408644400785850	92.18254806676526515951827593	0	0	0
mediophyceae	7.6271186440677966101694915300	0	0	0	0	0	0	0.4014049172102358253888610100	0.4434589800443458980044345900	0	0	0	2.9605263157894736842105263200	2.4432809773123909249563699800	0	0.0341413451689996585865483100	0	0.9037328094302554027504911600	0	0	0	0
conoidasida	1.6949152542372881355932203400	1.0452961672473867595818815300	0	1.0596962204168138466972801100	0	2.3423423423423423423423423400	0	0.9031610637230306071249372800	9.534368070953436807095343680	0	1.5197568389057750759878419500	2.6230569948186528497409326400	1.6447368421052631578947368400	1.5706806282722513089005235600	0	0.8193922840559918060771594400	3.2454361054766734279918864100	1.2180746561886051080550098200	1.162053665751109233044580600	0	0	0
fragilariophyceae	0.8474576271186440677966101700	0.1742160278745644599303135900	0	0.2472624514305898975626986900	0	0	0	12.594079277471149021575514300	2.9933481152993348115299334800	0	0	0	0	1.0471204188481675392670157100	0	0	0	7.8192534381139489194499017700	0	0	0	0
ulvophyceae	12.429378531073446327683615820	18.815331010452961672473867600	39.921722113502935420743639920	53.761921582479689155775344400	42.857142857142857142857142860	58.648648648648648648648648650	0	11.239337681886603110888108380	31.929046563192904656319290470	97.14285714285714285714285714	50.759878419452887537993920970	72.992227979274611398963730570	0	16.055846422338568935427574170	50.0	62.546944349607374530556503930	9.736308316430020283975659230	6.3654223968565815324165029500	6.6553982674836256074371434600	50.0	0	0
florideophyceae	0	0	15.851272015655577299412915850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
