identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
conoidasida	5.2173913043478260869565217400	4.5801526717557251908396946600	0	1.87500	0	3.7249283667621776504297994300	0	2.6431718061674008810572687200	20.476190476190476190476190480	0	2.8409090909090909090909090900	3.4438775510204081632653061200	28.571428571428571428571428570	5.2023121387283236994219653200	0	1.258191349934469200524246400	23.188405797101449275362318840	4.983922829581993569131832800	10.617760617760617760617760620	0	0	0
diatoma tenuis	0.8695652173913043478260869600	0	0	0.437500	0	0	0	28.487518355359765051395007340	0	0	0	0	0	0	0	0	0	28.135048231511254019292604500	0	0	0	0
asterionella glacialis	0	0.7633587786259541984732824400	0	0	0	0	0	0	4.5238095238095238095238095200	0	0	0	0	0	0	0	0	0	0	0	0	0
polysiphonia scopulorum	0	0	25.233644859813084112149532710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5766710353866317169069462600	0	0	0	0	0	0
trieres chinensis	1.7391304347826086956521739100	0	0	0	0	0	0	0	0	0	0	0	14.285714285714285714285714290	3.4682080924855491329479768800	0	0	0	2.0900321543408360128617363300	0	0	0	0
asterionellopsis glacialis	1.7391304347826086956521739100	0	0	0	0	0	0	8.370044052863436123348017620	1.904761904761904761904761900	0	0	0	0	3.4682080924855491329479768800	0	0	0	3.8585209003215434083601286200	0	0	0	0
macrodactyla	4.3478260869565217391304347800	11.450381679389312977099236640	1.5576323987538940809968847400	2.187500	0	1.7191977077363896848137535800	0	6.020558002936857562408223200	3.5714285714285714285714285700	0	2.2727272727272727272727272700	0.7227891156462585034013605400	14.285714285714285714285714290	1.7341040462427745664739884400	0	1.8086500655307994757536041900	7.2463768115942028985507246400	7.7170418006430868167202572300	28.571428571428571428571428570	0	0	0
bacillaria paxillifer	11.304347826086956521739130430	0.7633587786259541984732824400	7.4766355140186915887850467300	0.37500	0	1.2893982808022922636103151900	0	1.9089574155653450807635829700	0	0	0	0	5.7142857142857142857142857100	20.809248554913294797687861270	0	0.2621231979030144167758846700	0	4.1800643086816720257234726700	0	0	0	0
bryopsidaceae	38.260869565217391304347826090	82.44274809160305343511450382	63.551401869158878504672897200	95.12500	96.77419354838709677419354839	93.26647564469914040114613181	0	32.892804698972099853157121880	68.571428571428571428571428570	100	94.88636363636363636363636364	95.83333333333333333333333333	0	53.179190751445086705202312140	100	96.04193971166448230668414155	69.565217391304347826086956520	26.045016077170418006430868170	60.810810810810810810810810810	50.0	0	0
navicula lanceolata	11.304347826086956521739130430	0	2.1806853582554517133956386300	0	3.2258064516129032258064516100	0	0	11.306901615271659324522760650	0	0	0	0	0	7.5144508670520231213872832400	0	0	0	5.627009646302250803858520900	0	50.0	0	0
cymatosira belgica	0	0	0	0	0	0	0	1.1747430249632892804698972100	0.9523809523809523809523809500	0	0	0	37.142857142857142857142857140	4.6242774566473988439306358400	0	0.0524246395806028833551769300	0	1.6077170418006430868167202600	0	0	0	0
thalassiosira eccentrica	0	0	0	0	0	0	0	1.7621145374449339207048458100	0	0	0	0	0	0	0	0	0	14.469453376205787781350482320	0	0	0	0
attheya septentrionalis	3.4782608695652173913043478300	0	0	0	0	0	0	5.433186490455212922173274600	0	0	0	0	0	0	0	0	0	1.2861736334405144694533762100	0	0	0	0
toxarium	21.739130434782608695652173910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
