#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu220	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	39	0	0	0
Zotu346	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu154	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	5	0	0	237
Zotu194	0	0	0	0	0	0	0	0	6	0	21	11	0	11	0	0	2	0	18	1	0	0
Zotu233	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	9	0	20	5	0	0	0
Zotu333	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	7	0	0
Zotu224	0	0	0	0	0	0	0	0	0	26	0	0	0	0	22	0	0	0	0	12	0	0
Zotu359	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	19	0	0	1	0	0
Zotu354	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	25	0	0	0	0	0
Zotu382	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	31	0	0	0	0	0
Zotu137	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	198	0	0	0	0	0
Zotu329	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	18	0	0	0	0	0
Zotu177	0	0	0	0	0	0	0	0	0	0	0	64	0	3	0	0	0	0	0	0	0	0
Zotu297	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
Zotu260	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
Zotu240	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	25	0	0	0	0
Zotu107	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	5	177
Zotu254	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	35	0	0	0	0
Zotu44	0	0	0	0	0	0	0	0	0	0	0	0	0	1127	0	0	0	0	0	0	0	0
Zotu135	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0
Zotu182	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
Zotu184	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0
Zotu181	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0
Zotu270	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
Zotu324	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
Zotu276	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
Zotu350	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
Zotu285	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	25	0	0	0	0	0
Zotu268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
Zotu56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	7	0	488	0	0	0
Zotu185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69	0
Zotu335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0
Zotu176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	96	0
Zotu280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
Zotu235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	0	0
Zotu261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
Zotu283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
Zotu196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
Zotu337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
Zotu375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
Zotu274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
Zotu315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
Zotu383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Zotu363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
Zotu284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
Zotu367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Zotu357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
Zotu397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Zotu247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
Zotu307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
Zotu278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
Zotu320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Zotu334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Zotu273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
Zotu386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
Zotu248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
Zotu225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
Zotu338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
Zotu40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1517
Zotu122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	111
Zotu13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4106
Zotu12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133
Zotu250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
Zotu68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306
Zotu134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251
Zotu26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2696
Zotu148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562
Zotu72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388
Zotu141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107
Zotu98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569
Zotu263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
Zotu95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587
Zotu365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
Zotu115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239
Zotu157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565
Zotu323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
Zotu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759
Zotu121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384
Zotu110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197
Zotu89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494
Zotu131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198
Zotu64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627
Zotu164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
Zotu138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283
Zotu88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299
Zotu161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
Zotu83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284
Zotu91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
Zotu153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
Zotu170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343
Zotu158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
Zotu128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112
Zotu162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
Zotu287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Zotu306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Zotu342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
