#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu41	1	8	0	0	192	0	266	0	13	337	0	2	0	0	159	9	167	0	13	36	0	0
Zotu96	1	1	0	4	118	4	0	0	49	0	13	1	0	74	0	1	1	2	8	0	0	0
Zotu275	2	5	0	0	0	0	0	0	0	0	1	19	0	0	0	1	0	0	0	0	0	0
Zotu59	0	5	0	0	5	1	0	0	19	0	75	121	0	46	0	0	27	0	152	1	0	0
Zotu51	0	47	0	19	158	76	0	0	224	16	321	0	0	160	1	0	74	0	29	0	0	0
Zotu147	0	29	0	0	0	16	0	34	0	0	0	0	0	0	0	36	0	0	0	0	0	0
Zotu168	0	47	0	0	0	9	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
Zotu45	0	10	6	13	3	0	0	17	0	0	0	19	0	12	0	33	0	77	8	0	972	0
Zotu265	0	3	0	0	1	0	0	0	24	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu257	0	2	0	0	2	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0
Zotu37	0	7	0	126	258	0	0	0	429	0	0	0	0	862	8	0	0	0	245	4	0	0
Zotu396	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	20	0	0	0	0
Zotu242	0	5	0	0	0	0	0	0	17	0	0	0	0	0	0	0	30	0	0	0	0	0
Zotu97	0	1	0	0	0	2	0	85	20	0	0	5	11	2	0	0	4	57	0	0	0	0
Zotu228	0	2	0	1	0	4	0	0	0	0	28	0	0	9	0	0	2	0	0	0	0	0
Zotu116	0	3	0	20	15	0	0	0	27	2	1	1	0	74	0	0	0	0	50	3	0	0
Zotu232	0	1	0	0	3	0	0	0	0	0	3	5	0	8	0	0	5	0	29	0	0	0
