"2023-11-16";"15:32:08";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFC0119A) ";""
"2023-11-16 15:24:27.635";"2023-11-16";"15:24:27";"SLCS";"";"Light Curve start ";""
"2023-11-16 15:24:27.635";"2023-11-16";"15:24:27";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2023-11-16 15:24:27.635";"2023-11-16";"15:24:27";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2023-11-16 15:24:29.034";"2023-11-16";"15:24:29";"SCHS";"";"Chart start ";""
"2023-11-16 15:24:29.035";"2023-11-16";"15:24:29";"FO";"14";"0";"0";"0";"-";"-"
"2023-11-16 15:24:49.027";"2023-11-16";"15:24:49";"F";"15";"0";"0";"25";"-";"-"
"2023-11-16 15:25:09.013";"2023-11-16";"15:25:09";"F";"16";"0";"0";"45";"-";"-"
"2023-11-16 15:25:29.001";"2023-11-16";"15:25:29";"F";"17";"0";"0";"66";"-";"-"
"2023-11-16 15:25:48.995";"2023-11-16";"15:25:48";"F";"18";"0";"0";"91";"-";"-"
"2023-11-16 15:26:08.979";"2023-11-16";"15:26:08";"F";"19";"0";"0";"127";"-";"-"
"2023-11-16 15:26:28.986";"2023-11-16";"15:26:28";"F";"20";"0";"0";"192";"-";"-"
"2023-11-16 15:26:48.979";"2023-11-16";"15:26:48";"F";"21";"169";"199";"288";"0.151";"18.3"
"2023-11-16 15:27:08.965";"2023-11-16";"15:27:08";"F";"22";"160";"176";"424";"0.091";"16.2"
"2023-11-16 15:27:28.955";"2023-11-16";"15:27:28";"F";"23";"148";"156";"634";"0.051";"13.6"
"2023-11-16 15:27:48.942";"2023-11-16";"15:27:48";"F";"24";"138";"147";"828";"0.061";"21.2"
"2023-11-16 15:28:08.901";"2023-11-16";"15:28:08";"F";"25";"134";"141";"1159";"0.050";"24.3"
"2023-11-16 15:28:28.924";"2023-11-16";"15:28:28";"F";"26";"131";"138";"1511";"0.051";"32.4"
"2023-11-16 15:28:32.263";"2023-11-16";"15:28:32";"SLCE";"";"Light Curve end ";""
